phones,frequency
m ɑ ɹ iː oʊ,2
eɪ p ɹ ə n z,1
ɡ ɹ æ n tʃ ɪ l d ɹ ə n,2
b ʊ l d ɔ ɡ,4
n uː ə ɹ,1
m ɔ ɹ b ə d,1
ɪ n t ɹ ɛ p ə d,1
ɛ ɹ k ɹ æ f t,1
k ɑ m ə k ɑ z iː,1
dʒ ɛ t s,1
s aʊ n d ɪ ŋ,3
k oʊ p aɪ l ə t,2
s ɪ m j ə l eɪ t ɪ d,1
k ə n t ɹ oʊ l z,3
ɛ m p aɪ ə ɹ,2
ɑ b z ə ɹ v eɪ ʃ ə n,2
f l æ t n z,1
k æ m p ə ɹ,1
ɛ k s p ə d ɪ ʃ ə n z,2
ɡ ɹ eɪ ə m z,3
s w ɔ ɹ n,1
l ɪ b ə ɹ t iː z,1
s n oʊ s t ɔ ɹ m,2
m ə m ɔ ɹ iː ə l,2
f ɛ d ə ɹ ə l,1
dʒ oʊ k t,2
f ɹ oʊ z,3
ʃ w ɔ ɹ t s,1
p ɔ ɹ t ɹ ə t s,1
n æ p t,3
æ l dʒ iː,2
d ɪ z aɪ n d,2
t æ m b ə ɹ iː n z,1
k ɛ l p,6
s t ɹ ʌ m d,1
t aɪ t æ n ɪ k,1
ɹ ɛ v ə l uː ʃ ə n,1
ɪ m ə ɡ ɹ ə n t s,1
ɛ l ɪ s,1
s t æ t ə n,1
l ʌ n tʃ ɹ uː m,1
ɪ ŋ k ɪ ŋ,1
ɪ m ə t eɪ ʃ ə n,1
t ɔ ɹ tʃ,1
m æ s ə z,1
p l æ ŋ k t ə n,2
ɑ l t ə,1
ə ɹ eɪ n dʒ d,5
b ɹ iː f,1
s w ɛ l,2
s ə m ɛ s t ə ɹ,4
s ɛ v ə n θ,6
f ɪ ŋ ɡ ə ɹ n eɪ l z,6
p oʊ s t k ɑ ɹ d,1
ɪ ɡ z æ m p ə l,5
h aɪ n d,2
p ɑ ɹ t iː ɪ ŋ,1
f ɑ s ə l aɪ z d,2
dʒ oʊ n,1
p l æ s t ə ɹ d,1
ɪ v ɑ l v d,1
p l ɑ z ə,2
oʊ ɹ aɪ ə n,1
p l ɑ z ə z,1
ə s t ɹ ɑ n ə m ə ɹ z,1
ɹ ɛ p ɹ ɪ z ɛ n t s,1
s f ɪ ɹ,1
m ɪ s ə l,3
ɡ ɹ uː p ɪ ŋ z,1
j uː n ə v ɜː s,1
s ɪ m j ə l eɪ ʃ ə n,1
d ɑ k ə n z,1
t aɪ l z,3
s t ɛ ɹ w ɛ l,1
dʒ uː n j ə ɹ,3
d ɪ m aɪ z,1
æ n t ɛ n iː,1
k ɑ ɹ s ə n,3
d æ n j ə l,1
p ɹ æ n s ɪ ŋ,2
ɡ ɹ ə f iː t iː,1
h aɪ ɹ oʊ ɡ l ɪ f ɪ k s,1
t ɛ m p ə l,1
tʃ ɑ ɹ m z,3
s eɪ k ɹ ə d,2
p ɛ ɹ ə n t,12
ə t æ k t,1
h ɑ ɹ l ə m,1
ɪ n s ɛ n s,2
ɛ l m,1
d ʌ s t ə ɹ,2
p ɪ l ə ɹ,1
s l æ b,1
ə p ɑ l oʊ,2
æ m ə t ɜː,1
s k ɹ ʌ b ə ɹ,2
ɡ ɹ ɛ n ɪ tʃ,1
t ɹ iː t ɪ ŋ,7
ɪ n t eɪ k,1
ɡ uː l,1
tʃ aɪ n ə t aʊ n,3
f iː s t s,1
b ɹ aɪ d z,1
t ɛ m p ə l z,1
b uː θ s,1
m ɛ ɹ ə θ ɑ n,1
ɹ ʌ n ə ɹ z,1
k ɹ oʊ k t,3
ɹ ɑ k ɛ t s,3
h ɑ l ə d eɪ z,4
p ʊ l ə t s ə ɹ,1
ɡ ɑ b,1
m eɪ s iː z,2
b ɹ ɔ d w eɪ,1
ɹ ɑ k ə f ɛ l ə ɹ,1
p ɹ ə m iː θ iː ə s,1
m ɑ ɹ k iː,1
m ɛ ɹ iː ə t,1
ɔ l d,1
ə m ɛ ɹ ə k ə,3
s k ɹ iː n z,2
j ɔ ɹ k ə ɹ,1
s k uː l m eɪ t s,1
s ɔ f t ə s t,1
k ə n f j uː z ɪ ŋ,5
aʊ t f ɪ t ə ɹ z,1
ɜː b ə n,3
h ɑ p ə,1
ɹ iː ɡ ɹ ɛ s,1
m æ n iː z,1
d ɪ s l aɪ k t,1
t ɔ ɹ m ɛ n t ɪ ŋ,1
ə ɹ ɪ dʒ ə n ə l iː,4
ə f ɔ ɹ d ə b ə l,1
s ɛ k ə n d l iː,1
b ɔ s t ə n z,2
w aɪ n z,1
θ ɪ n z,1
k æ b ə n,3
ə b aɪ d,1
ɛ k s t ɹ æ v ə ɡ æ n z ə,1
oʊ d,1
p oʊ ə t ɹ iː,3
s k w ɪ d z,3
f æ k t s,1
b æ k b oʊ n,1
b æ k b oʊ n z,1
m ɑ l ə s k s,1
s t ɪ l ɪ,2
s p ɜː m,1
t ɛ n f oʊ l d,1
ɪ n k ɹ iː s t,1
k ə l oʊ k w iː ə l,1
s l æ ŋ,2
t iː tʃ ə z,1
p ɹ ɑ b ə b ɪ l ə t iː,1
ɪ n t ə ɹ s p ɜː s,1
æ t ə t uː d,5
f l ɔ ɹ ɪ d ə z,1
s n uː z ɪ ŋ,5
k ɔ ɹ n f iː l d,1
t ɔ ɹ t iː ə z,1
t ɔ ɹ t iː ə,1
b ə l uː n ɪ ŋ,1
ɹ oʊ l ə ɹ k oʊ s t ə ɹ,1
ɡ ɹ æ dʒ uː ə l,1
ɹ iː p ɔ ɹ t ɪ ŋ,1
f ɪ z ɪ k s,1
s ʌ l f ə ɹ,3
ə s ɪ d ɪ k,1
f ɛ ɹ ə n h aɪ t,1
s p ɹ ɪ ŋ z,1
t iː t ə n,2
s p iː k ə ɹ,12
s ɪ b l ɪ ŋ,1
s ə k aɪ ə t ɹ ə s t,1
d ɪ b,2
k ɛ ɹ ə l aɪ n ə z,1
h ɜː ə k eɪ n z,1
ɹ æ n d ə m,1
ɪ n s t ə t uː t,1
k j uː l ɪ n ɛ ɹ iː,1
ə n aʊ n s m ə n t s,1
ʃ ɔ t b ɹ ɛ d,1
l ʊ k aʊ t,1
d ʌ ŋ k t,1
m oʊ n ɪ ŋ,2
p ɹ ɛ f ə ɹ ə b l iː,1
p ʌ f iː,3
k w ɪ k ə ɹ,3
tʃ ɪ l,5
j æ ŋ k ɪ ŋ,1
b aɪ p oʊ l ə ɹ,1
d iː p l iː,1
ɡ ʌ v ə ɹ m ə n t,3
f aɪ ə ɹ d,1
k l oʊ s l iː,3
s ɔ s ə ɹ z,2
h ə l oʊ z,1
k ɔ ɹ dʒ ə l,1
n ɑ l ə dʒ,2
s k æ n t iː,1
t ɪ p t oʊ,2
d æ m ɪ dʒ ɪ ŋ,1
t ɹ aɪ ʌ m f ə n t l iː,1
tʃ ʌ k l ɪ ŋ,1
h iː l z,6
d ɪ p ɛ n d ə b ə l,1
ɹ ɪ m ɑ ɹ k t,1
m ɪ s t eɪ k ə n,6
ə b ɹ ɪ dʒ d,1
l eɪ n iː,20
s p ɑ ɹ k ə l d,1
s k w iː l d,1
f ɹ ɪ t s,16
ɪ n t ə ɹ ʌ p t ɪ ŋ,2
s k aʊ l d,1
w ɔ t ə ɹ k ɹ ɛ s,1
b l iː t ɪ d,1
ɡ ɹ æ s iː,2
p ə n ɛ l ə p iː,7
f ɹ ɛ n d ʃ ɪ p,2
n ɜː v,2
s ʌ l k ɪ ŋ,1
k oʊ l d l iː,1
d ɪ s p l eɪ ɪ ŋ,1
s ɛ l f ɪ ʃ,2
f ɹ ɑ l ɪ k t,1
ɹ ɑ m p t,1
p æ d ə l,1
p iː t s ə z,2
k ɑ ɹ b,1
s ə l ɛ k ʃ ə n z,1
s ɜː v,4
ʃ ʊ ɡ ə ɹ iː,3
w ɔ ɹ m z,3
ɑ d iː oʊ,7
l ɛ ɡ oʊ,120
f l ʊ ɹ aɪ d,8
k w iː s ɪ n ə ɹ t,5
ɡ l ɛ n,1
s t ɹ eɪ t ə ɹ,2
f ɪ l θ iː,2
s ə l aɪ v ə,2
ɹ æ ɡ,16
k l ʌ ŋ k ɪ ŋ,3
p oʊ z ɪ z,12
ə b ɔ ɹ t,1
k ə n s t ɹ ɪ k t ə ɹ,5
ɡ ɪ n iː,5
k ɪ k ə,1
t ɔ k ə t ɪ v,1
s n ʌ ɡ l ɪ ŋ,8
l ɪ t ə l ə ɹ,8
s iː t ɪ d,6
d ɪ l aɪ t f ə l,2
p ɑ ɹ d ə n,33
l eɪ b ə l d,1
s ɑ k ə t,4
ɹ ə s iː v ə ɹ,23
ɛ n ə ɹ dʒ ɛ t ɪ k l iː,1
p ɔ z ə z,1
b ɹ iː f ə s t,1
s ɛ k s,1
t oʊ f uː,34
b ɪ s k ə t,48
m eɪ n iː,1
æ l z h aɪ m ə ɹ z,1
æ s p ɛ k t,1
d eɪ t ə,1
ɹ ɛ p ɹ ɪ z ɛ n t ɪ ŋ,1
b ɔ s iː,2
aɪ d iː l,5
ɪ n d uː s ɪ ŋ,1
d ɪ s ɡ aɪ z ɪ ŋ,3
p æ l ə t ə b ə l,1
ɪ n d uː s,2
s eɪ v ə ɹ ɪ ŋ,1
ə dʒ ʌ s t,11
k ɑ m b oʊ,2
m aɪ k iː,1
b ʌ k iː,4
t ɔ ɹ tʃ ə ɹ ɪ ŋ,1
t ɔ ɹ tʃ ə ɹ d,2
k ɹ ɪ t ɪ k ə l,1
ɡ ə z ʊ n d h aɪ t,23
tʃ æ n ə l,3
l aɪ k ɪ ŋ,9
s l ɪ ŋ,14
ʃ iː p ɪ ʃ,2
s t eɪ l,17
w ɛ n ə ə ɹ,1
t ɛ s t ɪ ŋ,20
b ɹ oʊ k ə ɹ,1
t ɛ n θ,13
t ɹ æ n s m ɪ t ə ɹ,39
dʒ ɛ n ə ɹ ə l,4
b ɑ n iː,2
ʃ ʌ v ə l d,2
f iː f iː,2
ɹ iː p l eɪ,1
s ɛ ʃ ə n,15
æ ŋ ɡ ə s,4
n ɪ k n eɪ m,13
t ɛ s t ɪ d,2
h ɑ ɹ n ə s,2
dʒ ɪ ɡ ə l ɪ ŋ,5
f ʌ ŋ k ʃ ə n ɪ ŋ,1
m æ l f ʌ ŋ k ʃ ə n,1
h aɪ p ɑ θ ə s ə s,2
t ɹ æ n s m ɪ t ə ɹ z,1
æ m b iː ə n t,1
t ɹ ɛ n d,1
θ ɪ ŋ iː,6
d ɜː,1
k ɑ n f ə s k eɪ t,1
s ɛ v ə n t iː n θ,5
s p uː n f ʊ l,4
s p ɛ n d ɪ ŋ,5
f ʌ s ɪ ŋ,1
k ʌ l iː,8
j uː n ə v ɜː s ə l,1
ɪ d iː oʊ s ɪ n k ɹ æ t ɪ k,1
h ɔ s ɪ,3
ɹ ɪ t ɹ iː v,2
p ʌ n tʃ iː,5
t eɪ k ə ɹ,2
b æ ŋ ɡ ə l,13
b uː t iː z,9
m ɑ n ə,2
k ɪ m,63
s t ɑ m p ɪ ŋ,8
k ɑ n t ɛ k s t s,1
ə p ɹ oʊ p ɹ iː ɪ t l iː,2
p ɹ iː k ɛ ɹ iː ə s,1
p eɪ dʒ d,2
ʃ ɹ ɪ l,5
f uː iː,25
dʒ æ k p ɑ t,1
k ʌ k,1
k ə n f aɪ n,1
ʃ ɹ ɛ d ɪ d,2
ɡ ɹ aɪ n d ə ɹ,7
f l æ k s,7
ɹ iː k ɑ t ə,4
w ɑ d l d,2
ʃ eɪ k iː,22
t ɪ m,1
ɑ ʃ ə,21
d ɑ l iː,40
d ɑ l iː z,3
t w iː t ɪ ŋ,3
f oʊ k ə s t,4
w iː t iː z,1
s w ɑ l oʊ ɪ ŋ,6
h æ l ə p iː n j oʊ z,1
æ k s ɛ s ə b ə l,1
k ə n v iː n j ə n t,3
n iː ɡ ɹ oʊ z,1
f ʌ n z,2
d iː ɑ n,2
dʒ ɜː m,14
p l æ d,4
w iː t iː,3
t eɪ b ə l s p uː n,4
ə b z ɔ ɹ b,1
b j uː s iː,9
p ɹ iː v j uː,1
æ ŋ k ʃ ə s,2
iː ɡ ə l,10
k l ʌ ŋ k t,3
l uː s iː z,7
s uː ʃ iː,10
d ɪ s p oʊ z ə l,5
ɹ eɪ n s t ɔ ɹ m z,1
l uː s iː l,28
j uː n iː,1
s w ɪ l,3
k ɔ ɹ iː ə n,2
t aɪ l ə ɹ,22
t aɪ l ə ɹ z,3
f l ʌ ʃ ɪ ŋ,2
s æ n d z,2
w ɔ ɹ m d,6
m ɛ t s,7
b ɹ iː oʊ ʃ,1
tʃ ɑ p s t ɪ k s,2
ɹ iː k w aɪ ə ɹ,2
v ɪ ɡ ə ɹ ə s,1
eɪ t iː n θ,14
k ə n s iː v,1
æ θ l iː t,2
ɹ ɪ b ə n z,15
s ɔ f t w ɛ ɹ,1
m ə s ɑ ʒ,16
æ k s ɛ s,5
p ɹ ə f ɛ ʃ ə n ə l,3
k l iː n ə ɹ z,5
k l ɑ ɡ z,6
s iː k w ə n s,1
æ l ə n,5
s ɪ s iː l j ə,2
f iː n d,3
ɜː n ɪ s t,1
t ɹ æ n z ɪ ʃ ə n,2
p ɹ ɛ f ə s,1
l eɪ l ɑ,2
ɹ æ n d ə m l iː,1
k ɑ z m oʊ s,6
æ k j ə ɹ ə t l iː,2
æ d v ə ɹ b z,1
s ɛ d ə m,3
b ɑ ɹ ɪ dʒ,2
p ɹ oʊ n aʊ n,1
p ɜː s ɪ n ə l,2
f ɹ iː k w ə n t l iː,3
p ə t uː n iː ə z,8
æ k t ɪ v ə t iː z,6
m ʌ t s,2
m ɪ n t s,1
s w ɪ m s uː t,6
f ɹ eɪ z,2
k ə t ɑ n oʊ,1
b iː p ə ɹ,16
s uː p ə ɹ v ɪ ʒ ə n,3
dʒ ʌ ɡ ə l ə ɹ,3
k w æ k s,2
s k w ɜː m ɪ ŋ,1
h ʌ l ə b ə l uː,5
b ɜː l iː,5
s ɛ p ə ɹ eɪ t ə ɹ,1
t ʌ p,1
s p ɹ ɪ ŋ k l ɪ ŋ,4
s ɪ v,20
b ʌ k w iː t,1
n ɜː s t,8
k oʊ l t ɹ ə n,2
m ə s ɑ ʒ ɪ ŋ,5
p ɪ t s,1
æ n t ɛ n ə,6
ɹ uː,2
d ɔ ɹ m æ t,1
dʒ ə n ɛ ɹ ɪ k,2
l iː z ə,40
f ɪ l t ə ɹ,3
ɑ n ə s t l iː,3
s ɪ k j ʊ ɹ ə t iː,3
m ʌ m iː z,3
s ɑ ɡ ɪ ɪ s t,2
h uː l ə,25
n ʌ k ə l,3
l æ l iː,5
ə s ɛ m b l iː z,1
n ɪ p ə l,3
l ɑ ɹ k ɪ n,5
k ɹ ɪ s t ə n,2
f l ə m ɛ ŋ k oʊ,2
n aɪ t ɪ,1
b æ n d ə t,1
m ʌ s k ə t iː ɹ,9
ɹ ɪ m eɪ n,2
n ɛ l iː,1
ɡ ʌ ʃ,3
t ɪ t m aʊ s,2
ɡ æ ŋ s t ə ɹ,1
k ə m oʊ n ə,2
dʒ ɛ ɹ ə m aɪ ə,8
tʃ ɛ s,4
p ɹ ɑ s ə d iː,1
ɹ ɪ l æ k s t,2
m ʌ n tʃ ɪ z,2
f ɹ iː k w ə n t,1
p oʊ l iː,1
b ɛ v ə ɹ ɪ dʒ,3
θ aɪ,5
w ɑ ŋ k,9
p æ t ə ɹ,16
n æ ʃ,2
l ɛ p ə ɹ d z,4
t uː b z,2
d aɪ ə n,5
l ɔ n m oʊ ə ɹ z,1
k oʊ m d,3
k ɑ ɹ t ə ɹ,2
k ɑ ɹ t ə ɹ z,3
ɑ ɹ l iː n,2
k l ʌ m p,1
l oʊ ʃ ə n,14
ɪ m ə t eɪ t ɪ ŋ,3
ɡ ɹ iː t ɪ ŋ,2
ɹ iː s k ɛ dʒ uː l,1
p ɪ ɹ ə m ɪ d,2
eɪ dʒ ɪ ŋ,1
k aʊ n s ə l,5
f ɜː n ə s,5
h iː t ə ɹ,5
n aɪ n t iː n θ,8
f ɑ l iː,1
aʊ t s aɪ d z,1
v ɪ ɡ ə ɹ,22
v ɪ m,23
iː l aɪ,3
v ɪ n ə ɡ ə ɹ,6
p ɪ θ,3
s n ɑ ɹ l,1
m ə s k iː t oʊ z,1
s ɛ ɡ m ə n t,3
p ɹ iː v iː ə s,4
s n eɪ p,1
ɹ iː l ɪ v ɪ ŋ,1
ɡ ɹ aʊ l z,3
k ɑ ɹ n ə v ə l,7
w ɪ θ ɪ m,1
s n ʌ ɡ ə l d,4
s æ l iː z,11
k ɪ m z,6
p ɔ ɹ ə dʒ,71
ɡ oʊ l d iː l ɔ k s,28
ɜː ɡ,1
ə n æ l ə dʒ iː,2
ʌ t ə ɹ,3
s uː z æ n,1
ɑ k t oʊ b ə ɹ,10
m aɪ n ə s,2
ə n f ɔ ɹ tʃ ə n ə t l iː,7
d iː k æ f,2
l ɛ n d ɪ ŋ,2
n ʌ ð ə ɹ,4
ɹ ɪ v ɜː s,3
h ɑ ɹ m ɪ ŋ,1
tʃ iː,13
h aɪ d ɹ eɪ n dʒ ə z,1
k ə l ɛ dʒ ə l ə,3
s ɑ ɹ ɪ ɪ s t,1
d æ f ə d ɪ l z,1
t w ɪ n,1
k oʊ l t,6
k iː n ə,1
ɹ ɪ k w ɛ s t,4
s n ɑ ɹ l z,6
s n ɑ ɹ l ɪ ŋ,1
b l æ k s,1
l æ p s,1
p æ d iː,4
k æ m ə f l ɑ ʒ d,4
b uː iː z,1
b uː iː,4
k ə n s t ɹ eɪ n t,1
k l ɪ n ə k ə l,1
ɪ n k ʌ m,1
k j uː m j ə l ə t ɪ v,1
k ə l ʌ m b ə s,1
w ʊ z iː,10
m ɑ l ə,11
d ɪ v ɛ l ə p ɪ ŋ,1
w ɔ l ɑ,3
s t æ n d ə ɹ d,3
ɔ t ə m æ t ɪ k,1
k ə z uː z,3
f ɪ f t iː n θ,5
s ɔ ɹ t ɪ ŋ,13
s n ʌ f,1
ɹ aɪ n ɑ s ə ɹ ə s ɪ z,3
f ɪ k s ə b ə l,1
l ɔ ɹ ə n,8
ɡ ɹ aɪ n d,9
ɡ ɹ aɪ n d ɪ ŋ,1
ɹ ɛ ɡ j ə l ə ɹ l iː,3
f æ s t ɪ d iː ə s,3
ɹ aʊ,1
d ɪ s k ɹ aɪ b,8
d æ l ə,1
ʌ n d ə ɹ ʃ ɜː t,2
ɑ ɹ m ə d ɪ l oʊ z,13
b l uː m ɪ ŋ,3
ɡ l ɔ ɹ iː z,1
s t ɑ p ə ɹ,2
ɔ ɹ ɛ ɡ ə n oʊ,1
f oʊ l d ə d,6
tʃ ɛ s t s,2
ɪ n dʒ iː n j ə s,2
ɜː l iː ə s t,1
ɹ ɪ z uː m,4
f ɪ s t s,3
dʒ uː l z,1
m uː z,1
ɡ ɹ eɪ s,9
d uː d iː,1
p uː ɹ l iː,1
ɡ l uː z,1
ɪ k s p aɪ ɹ d,3
s iː d ə ɹ,3
ɹ oʊ m ɑ n oʊ,1
h ɜː ʃ iː,4
d eɪ d iː,3
b eɪ d iː,5
w aɪ n iː,2
k ə n v ɜː t ɪ ŋ,1
s uː p iː,1
d aʊ ə l,2
ɪ ɹ eɪ s ɪ ŋ,5
f ɪ s t ɪ d,2
p æ n ɪ ŋ,1
p ɔ ɹ k j ə p aɪ n z,4
ɹ ɪ f ɜː ɪ ŋ,2
b ɛ l oʊ z,1
l uː n,9
ɡ ɹ eɪ s iː,10
p ɹ oʊ ɡ ɹ æ m,3
dʒ ɔɪ n t,1
l uː n z,1
t æ k iː,1
h ɜː ʃ iː z,2
s p aɪ ɹ ə l z,1
ɡ ɹ ɪ d l,3
h aʊ l,1
f ɹ iː k s,1
b ɑ ɹ oʊ ɪ ŋ,5
ɪ m ə n ə n t l iː,2
p ɹ ɪ z ə n,1
w ɪ l b ə ɹ,1
k uː l d,3
h uː p s,1
l ɔ ɹ ə,5
k l iː n ə z,3
b ɪ ŋ ɡ oʊ,5
ɪ n s p ɛ k t,2
m eɪ v,2
ɹ iː k ɔ l,2
b oʊ s t s,1
m iː n ə,2
f ɪ ɹ d,1
l ɑ ɹ k s,3
l ɑ ɹ k,4
d ɛ l t,1
f ɪ ŋ ɡ ə ɹ p eɪ n t,4
s ə s p ɛ k t,1
p ɑ m ɪ,1
s uː p ə ɹ h iː ɹ oʊ,8
b ʌ b,4
k ʊ k ə b ʌ ɹ ə,10
s t ɛ θ ə s k oʊ p s,1
θ ʌ n d ə ɹ ə s,1
b l ʌ d,2
f ə l ɑ s ə f iː,5
k æ s ə w ɛ ɹ iː,6
ɪ l ɛ k t ɹ ɪ ʃ ə n,1
tʃ æ p t,3
s ɜː v ɪ ŋ,3
n iː n ə,3
b ɪ ɹ,2
k ə m ɪ t,2
n ɑ b,11
ɪ l aɪ z ə,10
d ɪ s t ɹ ɛ s,1
ə n ɔɪ,1
d ɪ s eɪ b ə l,2
b j ʊ ɹ oʊ,4
p iː dʒ eɪ z,1
p ɹ iː ɹ iː k ɔ ɹ d ɪ d,1
m ɜː t ə l,2
t ɛ ɹ ə p ɪ n,1
d ɛ l ə,1
t ɛ m p t ɪ d,1
ɹ ɪ t ɹ iː v ə l,1
p ɹ ɑ s ɛ s,1
s t ɹ æ p t,1
w ɑ ʃ ə b ə l,2
s ɪ n d iː,1
m ʌ z ə l,16
m ʌ z ə l z,2
m æ l ɪ t s,3
p l eɪ ɡ ɹ aʊ n d,1
b ɑ ɹ l oʊ,3
j oʊ k oʊ,4
d ʌ k l ɪ ŋ,21
k ɑ k ə t uː z,1
ɑ s t ɹ ɪ tʃ ɪ z,4
m ʌ s k,1
ɹ iː v j uː,1
p aʊ tʃ ə z,1
m oʊ d,2
k ɑ ɹ d ə n ə l z,7
m oʊ p ɪ ŋ,1
ʃ uː t ə ɹ,4
w aʊ n d,4
dʒ ə ɹ eɪ n iː ə m z,2
p ɹ ə s iː dʒ ə ɹ,3
k ʌ s t ə m ɛ ɹ iː,2
dʒ oʊ z iː,1
ʃ ɑ k ə,7
s ə k s ɛ s f ə l iː,1
ɡ ə d aɪ v ə,4
ɪ n v ɪ t eɪ ʃ ə n z,3
n ɪ k ə l ə s,4
dʒ ə ɹ eɪ n iː ə m,1
s oʊ l z,2
oʊ v ə ɹ ɹ ʌ n,1
ɹ ɑ p ʊ z ə l,20
ʃ ɜː l iː,6
m ɑ ɹ s uː p iː ə l s,10
b ʊ ʃ iː,1
p ɪ n oʊ k iː oʊ,1
l iː m ə ɹ z,3
m ɑ t ɹ ɪ n,2
d ɪ p ɛ n d z,5
s p l ɪ t ə ɹ,5
s oʊ k ɪ ŋ,10
k ə d ɛ t s,1
s l ʌ ɡ z,3
n ə s t ɜː ʃ ə m,1
ɛ s t ə m ə t s,1
ʃ ɜː l iː z,1
k oʊ l t s,2
ɹ eɪ l ɪ ŋ,2
aɪ t ə m z,10
s n æ p ə z,3
ɹ iː ə ɹ eɪ n dʒ ɪ ŋ,5
s t eɪ b ə l aɪ z,7
ɪ z ə b ɛ l ə,2
ə s aɪ n ɪ ŋ,1
f oʊ m iː,3
k ɑ ɹ t ə n,1
d æ ŋ k n ə ɹ,3
p ɜː p ə,1
aɪ d ə h oʊ z,1
m ɛ d ə s ə n z,6
f ɹ eɪ l,2
ɪ n s aɪ z ə ɹ z,1
b ɑ ɹ n z,1
d ə l æ p ə d eɪ t ɪ d,1
d iː z,1
b ɑ t ə,1
b æ θ ɹ oʊ b,6
s aʊ n d t ɹ æ k,1
s æ l ə m æ n d ə ɹ z,3
m ɑ n ə t ə ɹ,2
æ m f ɪ b iː ə n z,5
f ɔ ɹ w ə ɹ d ɪ d,1
m æ m ə l,11
ɹ ɛ p t aɪ l,6
p ɹ ɑ n t oʊ,1
f aɪ n d ə ɹ z,1
z ɛ l,3
v ɑ l ə n t ɪ ɹ,1
ɛ n dʒ ɔɪ z,1
s ʌ p,1
w ɛ ɹ f ɔ ɹ,1
ɡ l uː m iː,5
k oʊ b ɹ ə,10
b ɜː l iː oʊ z,4
h ɛ dʒ h ɑ ɡ z,5
ə b s k j ʊ ɹ,1
ə m ʌ ŋ s t,4
t ɹ æ m p ɪ ŋ,2
m ʊ ɹ,2
p ɑ z ə t ɪ v l iː,1
ɹ ɛ tʃ,2
s w ɪ m s uː t s,2
ə f ɛ k t s,1
f ɑ t ɛ,4
t ɛ l ə f oʊ n z,1
ɡ ɹ aɪ n d z,1
n oʊ t ə s ə z,1
ɹ aɪ t l iː,1
k iː n,3
ɔ ɹ k ə s t ɹ ə z,1
f l aɪ t,4
b ɛ n tʃ ɪ z,2
l ɪ n d ə,7
s ʌ m ə ɹ s ɔ l t s,1
l uː l ə,2
p ɑ ɹ t l iː,4
ɪ k w eɪ ʒ ə n,1
t ɑ l ə ɹ ə n s,1
n iː t ə ɹ,3
ɹ ə d uː s,1
ɪ ɡ z æ dʒ ə ɹ eɪ ʃ ə n,1
m ɪ k ɑ d oʊ,1
b l ɪ ŋ k ə n,1
n ɛ t s,1
ɹ iː m eɪ k ɪ ŋ,1
ɔ θ ə ɹ,3
ə p ɹ oʊ tʃ,3
s w ɑ p t,1
ɹ ɛ k ə ɡ n aɪ z ə z,1
s w ɑ p,1
ɹ ɪ dʒ ə d,1
ɡ ɹ eɪ t f ə l,2
ɛ n iː h aʊ,1
m ɛ θ ə d,1
k ɑ ɹ l,1
m aɪ n d ə d,1
æ b s ə n t,1
dʒ ɑ n iː,1
m ɪ s t eɪ k s,10
ɪ f ɪ ʃ ə n t,1
f ʌ dʒ,9
w ʊ l f ɡ æ ŋ,4
s ɪ t ə ɹ z,2
ɹ ɑ b ə ɹ t,5
ɪ n s ɑ m n iː ə,1
ɪ n ə b ɪ l ɪ t iː,1
k ɑ m p l ɪ k eɪ t s,1
ə p ɹ uː v d,1
ɪ k s t ɛ n d ɪ ŋ,1
ɹ ɪ p iː t ɪ d l iː,1
ɹ ɪ l ɪ dʒ ə s l iː,1
ʌ n l ɜː n z,1
m ɔ,1
ɡ ɜː ɡ ə l,2
b ɜː b ə l,2
ɡ ɹ aʊ n d h ɑ ɡ,7
d ɪ ŋ k,7
w ʊ l f s,2
b oʊ l t s,2
ɡ ɹ oʊ s ə ɹ,13
t æ ʃ ə,2
b ʊ tʃ ə ɹ,2
s uː p s,1
t ɹ ɔ f,3
t ɹ ɪ p ɪ ŋ,3
p oʊ ə m z,10
k ɑ n f ə ɹ ə n s,2
ə n l ʌ k iː,1
s ɑ l v d,3
ɛ n ɡ eɪ dʒ d,2
d ɛ s ə l ə t,1
s t ʌ m p ɪ ŋ,2
k ɹ eɪ v ɪ ŋ,1
h ɪ n dʒ ɪ z,3
n oʊ t ɪ s ɪ ŋ,6
s ɔ l ə m l iː,1
b ɹ ʊ k l aɪ n,5
f æ t ə n,1
l ɔ s,1
b ɪ m oʊ n ɪ ŋ,1
ə n l ɑ k ɪ ŋ,1
s k ɛ ɹ z,1
m ɪ l ə t,3
æ m b ɪ ʃ ə s,1
p ɛ ɹ ə k iː t,2
s k æ ɹ iː,3
s t ɑ ɹ t l ɪ ŋ,3
d iː v iː ə s,1
s t oʊ l ə n,1
ɛ s k ə l eɪ t ə ɹ z,1
t ɔ ɹ t ə s,8
b ɔɪ l,9
k w ɪ l t ɪ d,2
ɹ oʊ m iː oʊ,2
m oʊ b ə l z,1
l uː iː,3
p ɔ ɹ t ə b ə l,1
l oʊ k ə m oʊ t ɪ v,4
m iː n ɪ ŋ f l n ɪ s,1
w ɑ l ɹ ə s ɪ z,12
b ɛ t s iː z,1
w eɪ n d,1
b ɑ n,2
ɹ ɪ n s ɪ ŋ,3
t ʌ k s,3
dʒ ɔɪ f ə l iː,1
k iː h oʊ l,1
ɹ iː s aɪ t ɪ ŋ,1
l aɪ b ɹ ɛ ɹ iː ə n z,2
f oʊ m,3
