word	phonetic	syllabic
streaking	s t ɹ iː k ɪ ŋ	
streaks	s t ɹ iː k s	
stream	s t ɹ iː m	
streamed	s t ɹ iː m d	
streamer	s t ɹ iː m ə ɹ	
streamers	s t ɹ iː m ə ɹ z	
streaming	s t ɹ iː m ɪ ŋ	
streamline	s t ɹ iː m l aɪ n	
streamlined	s t ɹ iː m l aɪ n d	
streamlining	s t ɹ iː m l aɪ n ɪ ŋ	
streams	s t ɹ iː m z	
streater	s t ɹ iː t ə ɹ	
streb	s t ɹ ɛ b	
strebe	s t ɹ iː b	
strebeck	s t ɹ iː b ɛ k	
strebel	s t ɹ ɛ b ə l	
streck	s t ɹ ɛ k	
strecker	s t ɹ ɛ k ə ɹ	
streed	s t ɹ iː d	
streep	s t ɹ iː p	
streeper	s t ɹ iː p ə ɹ	
street	s t ɹ iː t	
street's	s t ɹ iː t s	
streetcar	s t ɹ iː t k ɑ ɹ	
streeter	s t ɹ iː t ə ɹ	
streeters	s t ɹ iː t ə ɹ z	
streetman	s t ɹ iː t m ə n	
streets	s t ɹ iː t s	
streett	s t ɹ iː t	
streetwise	s t ɹ iː t w aɪ z	
streety	s t ɹ iː t iː	
streff	s t ɹ ɛ f	
strege	s t ɹ iː dʒ	
strehl	s t ɹ ɛ l	
strehle	s t ɹ ɛ l	
strehlow	s t ɹ ɛ l oʊ	
streib	s t ɹ aɪ b	
streiber	s t ɹ aɪ b ə ɹ	
streich	s t ɹ aɪ k	
streicher	s t ɹ aɪ k ə ɹ	
streiff	s t ɹ aɪ f	
streight	s t ɹ eɪ t	
streiker	s t ɹ aɪ k ə ɹ	
streisand	s t ɹ aɪ z ə n d	
streisand's	s t ɹ aɪ z ə n d z	
streit	s t ɹ aɪ t	
streitmatter	s t ɹ aɪ t m ə t ə ɹ	
strelow	s t ɹ ɛ l oʊ	
streng	s t ɹ ɛ ŋ	
strenger	s t ɹ ɛ ŋ ɡ ə ɹ	
strength	s t ɹ ɛ ŋ k θ	
strengthen	s t ɹ ɛ ŋ θ ə n	
strengthened	s t ɹ ɛ ŋ θ ə n d	
strengthening	s t ɹ ɛ ŋ θ ə n ɪ ŋ	
strengthens	s t ɹ ɛ ŋ θ ə n z	
strengths	s t ɹ ɛ ŋ k θ s	
strenio	s t ɹ iː n iː oʊ	
strenuous	s t ɹ ɛ n j uː ə s	
strenuously	s t ɹ ɛ n j uː ə s l iː	
strep	s t ɹ ɛ p	
streps	s t ɹ ɛ p s	
streptococcus	s t ɹ ɛ p t ə k ɔ k ə s	
streptokinase	s t ɹ ɛ p t ə k aɪ n eɪ s	
stress	s t ɹ ɛ s	
stressed	s t ɹ ɛ s t	
stresses	s t ɹ ɛ s ə z	
stressful	s t ɹ ɛ s f ə l	
stressing	s t ɹ ɛ s ɪ ŋ	
stressor	s t ɹ ɛ s ə ɹ	
stressors	s t ɹ ɛ s ə ɹ z	
stretch	s t ɹ ɛ tʃ	
stretched	s t ɹ ɛ tʃ t	
stretcher	s t ɹ ɛ tʃ ə ɹ	
stretcher-bearer	s t ɹ ɛ tʃ ə ɹ b ɛ ɹ ə ɹ	
stretcher-bearers	s t ɹ ɛ tʃ ə ɹ b ɛ ɹ ə ɹ z	
stretchers	s t ɹ ɛ tʃ ə ɹ z	
stretches	s t ɹ ɛ tʃ ə z	
stretching	s t ɹ ɛ tʃ ɪ ŋ	
stretto	s t ɹ ɛ t oʊ	
strevig	s t ɹ ɛ v ɪ ɡ	
strew	s t ɹ uː	
strewn	s t ɹ uː n	
strey	s t ɹ eɪ	
striar	s t ɹ aɪ ɹ	
stribling	s t ɜː ə b ə l ɪ ŋ	
strick	s t ɹ ɪ k	
stricken	s t ɹ ɪ k ə n	
stricker	s t ɹ ɪ k ə ɹ	
strickland	s t ɹ ɪ k l ə n d	
stricklen	s t ɹ ɪ k ə l ə n	
strickler	s t ɹ ɪ k l ə ɹ	
stricklin	s t ɹ ɪ k l ɪ n	
strickling	s t ɹ ɪ k l ɪ ŋ	
strict	s t ɹ ɪ k t	
stricter	s t ɹ ɪ k t ə ɹ	
strictest	s t ɹ ɪ k t ə s t	
strictly	s t ɹ ɪ k t l iː	
stricture	s t ɹ ɪ k tʃ ə ɹ	
strictures	s t ɹ ɪ k tʃ ə ɹ z	
stride	s t ɹ aɪ d	
stridency	s t ɹ aɪ d ə n s iː	
strident	s t ɹ aɪ d ə n t	
stridently	s t ɹ aɪ d ə n t l iː	
strider	s t ɹ aɪ d ə ɹ	
strides	s t ɹ aɪ d z	
striding	s t ɹ aɪ d ɪ ŋ	
strieber	s t ɹ aɪ b ə ɹ	
striegel	s t ɹ iː ɡ ə l	
strieker	s t ɹ iː k ə ɹ	
strieker's	s t ɹ iː k ə ɹ z	
strieter	s t ɹ iː t ə ɹ	
strife	s t ɹ aɪ f	
strifes	s t ɹ aɪ f s	
strike	s t ɹ aɪ k	
strike's	s t ɹ aɪ k s	
strikebreaker	s t ɹ aɪ k b ɹ eɪ k ə ɹ	
strikebreakers	s t ɹ aɪ k b ɹ eɪ k ə ɹ z	
strikeout	s t ɹ aɪ k aʊ t	
strikeouts	s t ɹ aɪ k aʊ t s	
striker	s t ɹ aɪ k ə ɹ	
striker's	s t ɹ aɪ k ə ɹ z	
strikers	s t ɹ aɪ k ə ɹ z	
strikers'	s t ɹ aɪ k ə ɹ z	
strikes	s t ɹ aɪ k s	
strikes'	s t ɹ aɪ k s	
striking	s t ɹ aɪ k ɪ ŋ	
strikingly	s t ɹ aɪ k ɪ ŋ l iː	
strimple	s t ɹ ɪ m p ə l	
strinden	s t ɹ ɪ n d ə n	
strine	s t ɹ aɪ n	
string	s t ɹ ɪ ŋ	
stringed	s t ɹ ɪ ŋ d	
stringency	s t ɹ ɪ n dʒ ə n s iː	
stringent	s t ɹ ɪ n dʒ ə n t	
stringently	s t ɹ ɪ n dʒ ə n t l iː	
stringer	s t ɹ ɪ ŋ ə ɹ	
stringers	s t ɹ ɪ ŋ ə ɹ z	
stringfellow	s t ɹ ɪ ŋ f ɛ l oʊ	
stringfield	s t ɹ ɪ ŋ f iː l d	
stringham	s t ɹ ɪ ŋ h æ m	
stringing	s t ɹ ɪ ŋ ɪ ŋ	
strings	s t ɹ ɪ ŋ z	
stringy	s t ɹ ɪ ŋ iː	
strip	s t ɹ ɪ p	
strip's	s t ɹ ɪ p s	
stripe	s t ɹ aɪ p	
striped	s t ɹ aɪ p t	
striper	s t ɹ aɪ p ə ɹ	
stripers	s t ɹ aɪ p ə ɹ z	
stripes	s t ɹ aɪ p s	
striplin	s t ɹ ɪ p l ɪ n	
stripling	s t ɹ ɪ p l ɪ ŋ	
stripped	s t ɹ ɪ p t	
stripper	s t ɹ ɪ p ə ɹ	
strippers	s t ɹ ɪ p ə ɹ z	
stripping	s t ɹ ɪ p ɪ ŋ	
strips	s t ɹ ɪ p s	
striptease	s t ɹ ɪ p t iː z	
strite	s t ɹ aɪ t	
strittmatter	s t ɹ ɪ t m ə t ə ɹ	
strive	s t ɹ aɪ v	
striven	s t ɹ ɪ v ə n	
strives	s t ɹ aɪ v z	
striving	s t ɹ aɪ v ɪ ŋ	
strivings	s t ɹ aɪ v ɪ ŋ z	
strnad	s t ɜː n æ d	
strobe	s t ɹ oʊ b	
strobel	s t ɹ oʊ b ə l	
strobel's	s t ɹ oʊ b ə l z	
strober	s t ɹ oʊ b ə ɹ	
strobl	s t ɹ ɑ b ə l	
stroble	s t ɹ oʊ b ə l	
strobridge	s t ɹ ɑ b ɹ ɪ dʒ	
strock	s t ɹ ɑ k	
strode	s t ɹ oʊ d	
stroder	s t ɹ oʊ d ə ɹ	
stroebel	s t ɹ oʊ b ə l	
stroessner	s t ɹ oʊ s n ə ɹ	
stroganoff	s t ɹ oʊ ɡ ə n ɔ f	
stroh	s t ɹ oʊ	
strohecker	s t ɹ oʊ ɪ k ə ɹ	
strohl	s t ɹ oʊ l	
strohm	s t ɹ oʊ m	
strohmaier	s t ɹ oʊ m aɪ ə ɹ	
strohman	s t ɹ oʊ m ə n	
strohmeier	s t ɹ oʊ m aɪ ə ɹ	
strohmeyer	s t ɹ oʊ m aɪ ə ɹ	
stroik	s t ɹ ɔɪ k	
strojny	s t ɹ oʊ j n iː	
stroke	s t ɹ oʊ k	
stroked	s t ɹ oʊ k t	
strokes	s t ɹ oʊ k s	
stroking	s t ɹ oʊ k ɪ ŋ	
strole	s t ɹ oʊ l	
stroll	s t ɹ oʊ l	
strolled	s t ɹ oʊ l d	
stroller	s t ɹ oʊ l ə ɹ	
strollers	s t ɹ oʊ l ə ɹ z	
strolling	s t ɹ oʊ l ɪ ŋ	
strollo	s t ɹ ɑ l oʊ	
strolls	s t ɹ oʊ l z	
strom	s t ɹ ɑ m	
stroma	s t ɹ oʊ m ə	
stromain	s t ɹ ɑ m aɪ n	
stroman	s t ɹ oʊ m ə n	
strombeck	s t ɹ ɑ m b ɛ k	
stromberg	s t ɹ ɑ m b ə ɹ ɡ	
stromboli	s t ɹ ɑ m b oʊ l iː	
stromboli's	s t ɹ ɑ m b oʊ l iː z	
strome	s t ɹ oʊ m	
stromer	s t ɹ oʊ m ə ɹ	
stromgren	s t ɹ ɑ m ɡ ɹ ɛ n	
stromme	s t ɹ ɑ m	
strommen	s t ɹ ɑ m ə n	
stromquist	s t ɹ ɑ m k w ɪ s t	
stronach	s t ɹ ɑ n ə k	
strong	s t ɹ ɔ ŋ	
stronger	s t ɹ ɔ ŋ ə ɹ	
strongest	s t ɹ ɔ ŋ ɡ ə s t	
stronghold	s t ɹ ɔ ŋ h oʊ l d	
strongholds	s t ɹ ɔ ŋ h oʊ l d z	
strongly	s t ɹ ɔ ŋ l iː	
strongman	s t ɹ ɔ ŋ m æ n	
strontium	s t ɹ ɑ n t iː ə m	
stroock	s t ɹ ʊ k	
stroop	s t ɹ uː p	
stroope	s t ɹ uː p	
stroot	s t ɹ uː t	
strope	s t ɹ oʊ p	
stroschein	s t ɹ ɔ ʃ aɪ n	
strosnider	s t ɹ ɑ s n aɪ d ə ɹ	
strossen	s t ɹ ɔ s ɛ n	
strother	s t ɹ ɑ ð ə ɹ	
strothers	s t ɹ ʌ ð ə ɹ z	
strothman	s t ɹ ɑ θ m ə n	
stroud	s t ɹ aʊ d	
strough	s t ɹ aʊ	
stroup	s t ɹ uː p	
stroupe	s t ɹ uː p	
strouse	s t ɹ aʊ s	
strout	s t ɹ aʊ t	
strouth	s t ɹ aʊ θ	
strove	s t ɹ oʊ v	
strow	s t ɹ oʊ	
strozier	s t ɹ oʊ z iː ə ɹ	
strub	s t ɹ ʌ b	
strubbe	s t ɹ ʌ b	
strube	s t ɹ uː b	
strubel	s t ɹ uː b ə l	
struble	s t ɹ uː b ə l	
struchen	s t ɹ ʌ k ə n	
struck	s t ɹ ʌ k	
struckman	s t ɹ ʌ k m ə n	
structural	s t ɹ ʌ k tʃ ə ɹ ə l	
structurally	s t ɹ ʌ k tʃ ə ɹ ə l iː	
structure	s t ɹ ʌ k tʃ ə ɹ	
structure's	s t ɹ ʌ k tʃ ə ɹ z	
structured	s t ɹ ʌ k tʃ ə ɹ d	
structures	s t ɹ ʌ k tʃ ə ɹ z	
structuring	s t ɹ ʌ k tʃ ə ɹ ɪ ŋ	
strudel	s t ɹ uː d ə l	
struebing	s t ɹ ʊ b ɪ ŋ	
struggle	s t ɹ ʌ ɡ ə l	
struggle's	s t ɹ ʌ ɡ ə l z	
struggled	s t ɹ ʌ ɡ ə l d	
struggles	s t ɹ ʌ ɡ ə l z	
struggling	s t ɹ ʌ ɡ ə l ɪ ŋ	
strum	s t ɹ ʌ m	
strumming	s t ɹ ʌ m ɪ ŋ	
strums	s t ɹ ʌ m z	
strung	s t ɹ ʌ ŋ	
strunk	s t ɹ ʌ ŋ k	
strunk's	s t ɹ ʌ ŋ k s	
strupp	s t ɹ ʌ p	
struss	s t ɹ ʌ s	
strut	s t ɹ ʌ t	
struthers	s t ɹ ʌ ð ə ɹ z	
struts	s t ɹ ʌ t s	
strutting	s t ɹ ʌ t ɪ ŋ	
strutton	s t ɹ ʌ t ə n	
strutz	s t ɹ ʌ t s	
struve	s t ɹ uː v	
strycharz	s t ɹ ɪ h ə ɹ z	
strychnine	s t ɹ ɪ k n aɪ n	
stryker	s t ɹ aɪ k ə ɹ	
strzelecki	s t ɹ ɛ z ɪ l ɛ t s k iː	
stu	s t uː	
stuard	s t uː ə ɹ d	
stuart	s t uː ə ɹ t	
stuart's	s t uː ə ɹ t s	
stuarts	s t uː ə ɹ t s	
stub	s t ʌ b	
stubbe	s t ʌ b	
stubbed	s t ʌ b d	
stubbins	s t ʌ b ɪ n z	
stubble	s t ʌ b ə l	
stubblefield	s t ʌ b ə l f iː l d	
stubborn	s t ʌ b ə ɹ n	
stubbornly	s t ʌ b ə ɹ n l iː	
stubbornness	s t ʌ b ə ɹ n n ə s	
stubbs	s t ʌ b z	
stubby	s t ʌ b iː	
stuber	s t uː b ə ɹ	
stubs	s t ʌ b z	
stucco	s t ʌ k oʊ	
stuccoed	s t ʌ k oʊ d	
stuchell	s t ʌ k ə l	
stuck	s t ʌ k	
stucke	s t ʌ k	
stucker	s t ʌ k ə ɹ	
stuckert	s t ʌ k ə ɹ t	
stuckey	s t ʌ k iː	
stucki	s t ʌ k iː	
stuckman	s t ʌ k m ə n	
stucky	s t ʌ k iː	
stud	s t ʌ d	
studdard	s t ʌ d ə ɹ d	
studded	s t ʌ d ɪ d	
studds	s t ʌ d z	
stude	s t uː d	
studebaker	s t uː d ə b eɪ k ə ɹ	
studeman	s t uː d m ə n	
student	s t uː d ə n t	
student's	s t uː d ə n t s	
students	s t uː d ə n t s	
students'	s t uː d ə n t s	
studer	s t uː d ə ɹ	
studied	s t ʌ d iː d	
studies	s t ʌ d iː z	
studio	s t uː d iː oʊ	
studio's	s t uː d iː oʊ z	
studios	s t uː d iː oʊ z	
studios'	s t uː d iː oʊ z	
studious	s t uː d iː ə s	
studiously	s t uː d iː ə s l iː	
studley	s t ʌ d l iː	
studnicka	s t ə d n ɪ s k ə	
studs	s t ʌ d z	
studstill	s t ʌ d s t ɪ l	
studt	s t ʌ d t	
studtgard	s t ʌ t ɡ ɑ ɹ d	
study	s t ʌ d iː	
study's	s t ʌ d iː z	
studying	s t ʌ d iː ɪ ŋ	
studzinski	s t ə dʒ ɪ n s k iː	
stuebe	s t uː b	
stueber	s t ʊ b ə ɹ	
stueck	s t uː k	
stueve	s t uː v	
stuewe	s t uː	
stuff	s t ʌ f	
stuff's	s t ʌ f s	
stuff-it	s t ʌ f ɪ t	
stuff-it's	s t ʌ f ɪ t s	
stuffed	s t ʌ f t	
stuffer	s t ʌ f ə ɹ	
stuffing	s t ʌ f ɪ ŋ	
stufflebeam	s t ʌ f ə l b iː m	
stufflebean	s t ʌ f ə l b iː n	
stuffs	s t ʌ f s	
stuffy	s t ʌ f iː	
stuhler	s t uː l ə ɹ	
stuhr	s t ɜː	
stuka	s t uː k ə	
stukel	s t uː k ə l	
stukes	s t uː k s	
stukey	s t ʌ k iː	
stull	s t ʌ l	
stuller	s t ʌ l ə ɹ	
stultify	s t ʌ l t ə f aɪ	
stultifying	s t ʌ l t ə f aɪ ɪ ŋ	
stults	s t ʌ l t s	
stultz	s t ʌ l t s	
stum	s t ʌ m	
stumbaugh	s t ʌ m b ɔ	
stumble	s t ʌ m b ə l	
stumbled	s t ʌ m b ə l d	
stumbles	s t ʌ m b ə l z	
stumbling	s t ʌ m b ə l ɪ ŋ	
stumbo	s t ʌ m b oʊ	
stumm	s t ʌ m	
stump	s t ʌ m p	
stumpage	s t ʌ m p ɪ dʒ	
stumpe	s t ʌ m p	
stumped	s t ʌ m p t	
stumper	s t ʌ m p ə ɹ	
stumpf	s t ʌ m p f	
stumpff	s t ʌ m p f	
stumph	s t ʌ m f	
stumping	s t ʌ m p ɪ ŋ	
stumpo	s t ʌ m p oʊ	
stumpp	s t ʌ m p	
stumps	s t ʌ m p s	
stun	s t ʌ n	
stung	s t ʌ ŋ	
stunk	s t ʌ ŋ k	
stunned	s t ʌ n d	
stunner	s t ʌ n ə ɹ	
stunning	s t ʌ n ɪ ŋ	
stunningly	s t ʌ n ɪ ŋ l iː	
stuns	s t ʌ n z	
stunt	s t ʌ n t	
stunted	s t ʌ n t ɪ d	
stunts	s t ʌ n t s	
stuntz	s t ʌ n t s	
stupa	s t uː p ɑ	
stupak	s t uː p ə k	
stupar	s t uː p ə ɹ	
stupay	s t uː p eɪ	
stupendous	s t uː p ɛ n d ə s	
stupid	s t uː p ə d	
stupider	s t uː p ɪ d ə ɹ	
stupidest	s t uː p ɪ d ə s t	
stupidity	s t uː p ɪ d ɪ t iː	
stupidly	s t uː p ə d l iː	
stupka	s t ʌ p k ɑ	
stupor	s t uː p ə ɹ	
stupp	s t ʌ p	
stupski	s t ʌ p s k iː	
sturbridge	s t ɜː b ɹ ɪ dʒ	
sturc	s t ɜː k	
sturdevant	s t ɜː d ɪ v ə n t	
sturdhal	s t ɜː d ɑ l	
sturdier	s t ɜː d iː ə ɹ	
sturdiness	s t ɜː d iː n ə s	
sturdivant	s t ɜː d ɪ v ə n t	
sturdy	s t ɜː d iː	
sturgell	s t ɜː ɡ ə l	
sturgeon	s t ɜː dʒ ə n	
sturgeons	s t ɜː dʒ ə n z	
sturges	s t ɜː dʒ ɪ z	
sturgess	s t ɜː ɡ ɪ s	
sturgill	s t ɜː ɡ ə l	
sturgis	s t ɜː dʒ ɪ s	
sturkie	s t ɜː k iː	
sturm	s t ɜː m	
sturman	s t ɜː m ə n	
sturmans	s t ɜː m ə n z	
sturmer	s t ɜː m ə ɹ	
sturn	s t ɜː n	
sturrock	s t ɔ ɹ ə k	
sturtevant	s t ɜː t ə v ə n t	
sturtz	s t ɜː t s	
sturza	s t ɜː z ə	
stutes	s t uː t s	
stutesman	s t uː t s m ə n	
stuteville	s t uː t v ɪ l	
stutheit	s t ʌ θ aɪ t	
stutler	s t ʌ t l ə ɹ	
stutner	s t ʌ t n ə ɹ	
stutsman	s t ʌ t s m ə n	
stutter	s t ʌ t ə ɹ	
stuttering	s t ʌ t ə ɹ ɪ ŋ	
stutters	s t ʌ t ə ɹ z	
stuttgart	s t ʌ t ɡ ə ɹ t	
stutts	s t ʌ t s	
stutz	s t ʌ t s	
stutzman	s t ʌ t s m ə n	
stuve	s t uː v	
stuver	s t uː v ə ɹ	
stuyvesant	s t aɪ v ə s ə n t	
sty	s t aɪ	
styer	s t aɪ ə ɹ	
styers	s t aɪ ə ɹ z	
stygian	s t ɪ dʒ iː ə n	
style	s t aɪ l	
styled	s t aɪ l d	
styles	s t aɪ l z	
styling	s t aɪ l ɪ ŋ	
stylish	s t aɪ l ɪ ʃ	
stylishly	s t aɪ l ɪ ʃ l iː	
stylist	s t aɪ l ɪ s t	
stylistic	s t aɪ l ɪ s t ɪ k	
stylistically	s t aɪ l ɪ s t ɪ k l iː	
stylists	s t aɪ l ɪ s t s	
stylites	s t ɪ l aɪ t s	
stylize	s t aɪ l aɪ z	
stylized	s t aɪ l aɪ z d	
stylus	s t aɪ l ə s	
stymie	s t aɪ m iː	
stymied	s t aɪ m iː d	
stymies	s t aɪ m iː z	
styne	s t aɪ n	
styrene	s t aɪ ɹ iː n	
styrofoam	s t aɪ ɹ ə f oʊ m	
styron	s t aɪ ɹ ɔ n	
stys	s t ɪ s	
styx	s t ɪ k s	
su	s uː	
suard	s uː ɑ ɹ d	
suarez	s w ɑ ɹ ɛ z	
suasion	s w eɪ ʒ ə n	
suata	s uː ɑ t ə	
suata's	s uː ɑ t ə z	
suave	s w ɑ v	
suazo	s w ɑ z oʊ	
sub	s ʌ b	
sub's	s ʌ b z	
sub-foreman	s ə b f ɔ ɹ m ə n	
sub-way	s ʌ b w eɪ	
suba	s uː b ə	
subacute	s ʌ b ə k j uː t	
subandrio	s ə b æ n d ɹ iː oʊ	
subaru	s uː b ə ɹ uː	
subassemblies	s ʌ b ə s ɛ m b l iː z	
subassembly	s ʌ b ə s ɛ m b l iː	
subatomic	s ʌ b ə t ɑ m ɪ k	
subbed	s ʌ b d	
subbing	s ʌ b ɪ ŋ	
subchapter	s ʌ b tʃ æ p t ə ɹ	
subcommander	s ʌ b k ə m æ n d ə ɹ	
subcommander's	s ʌ b k ə m æ n d ə ɹ z	
subcommanders	s ʌ b k ə m æ n d ə ɹ z	
subcommittee	s ʌ b k ə m ɪ t iː	
subcommittee's	s ʌ b k ə m ɪ t iː z	
subcommittees	s ʌ b k ə m ɪ t iː z	
subcompact	s ə b k ɑ m p æ k t	
subcompacts	s ə b k ɑ m p æ k t s	
subconscious	s ə b k ɑ n ʃ ə s	
subconsciously	s ə b k ɑ n ʃ ə s l iː	
subcontinent	s ə b k ɑ n t ɪ n ə n t	
subcontinents	s ə b k ɑ n t ɪ n ə n t s	
subcontract	s ə b k ɑ n t ɹ æ k t	
subcontracted	s ə b k ɑ n t ɹ æ k t ɪ d	
subcontracting	s ʌ b k ə n t ɹ æ k t ɪ ŋ	
subcontractor	s ə b k ɑ n t ɹ æ k t ə ɹ	
subcontractors	s ə b k ɑ n t ɹ æ k t ə ɹ z	
subcontracts	s ə b k ɑ n t ɹ æ k t s	
subculture	s ʌ b k ʌ l tʃ ə ɹ	
subcultures	s ʌ b k ʌ l tʃ ə ɹ z	
subcutaneous	s ə b k j uː t eɪ n iː ə s	
subdivide	s ʌ b d ə v aɪ d	
subdivided	s ʌ b d ɪ v aɪ d ɪ d	
subdivision	s ʌ b d ɪ v ɪ ʒ ə n	
subdivisions	s ʌ b d ɪ v ɪ ʒ ə n z	
subdue	s ə b d uː	
subdued	s ə b d uː d	
subduing	s ə b d uː ɪ ŋ	
suber	s uː b ə ɹ	
subfamilies	s ʌ b f æ m ə l iː z	
subfamily	s ʌ b f æ m ə l iː	
subgroup	s ʌ b ɡ ɹ uː p	
subgroups	s ʌ b ɡ ɹ uː p s	
subhlok	s ʌ b l ɑ k	
subhuman	s ʌ b h j uː m ə n	
subia	s uː b iː ə	
subic	s uː b ɪ k	
subject	s ə b dʒ ɛ k t	
subject's	s ʌ b dʒ ɪ k t s	
subjected	s ə b dʒ ɛ k t ɪ d	
subjecting	s ə b dʒ ɛ k t ɪ ŋ	
subjective	s ə b dʒ ɛ k t ɪ v	
subjectivity	s ə b dʒ ɛ k t ɪ v ɪ t iː	
subjects	s ʌ b dʒ ɪ k t s	
subjects'	s ʌ b dʒ ɛ k t s	
subjugate	s ʌ b dʒ ə ɡ eɪ t	
subjugated	s ʌ b dʒ ə ɡ eɪ t ɪ d	
subkingdom	s ə b k ɪ ŋ d ə m	
sublease	s ʌ b l iː s	
subleasing	s ə b l iː s ɪ ŋ	
sublet	s ʌ b l ɛ t	
sublett	s uː b l ɪ t	
sublime	s ə b l aɪ m	
subliminal	s ə b l ɪ m ɪ n ə l	
subliminally	s ə b l ɪ m ɪ n ə l iː	
subluxation	s ə b l ə k s eɪ ʃ ə n	
subluxations	s ə b l ə k s eɪ ʃ ə n z	
submachine	s ʌ b m ə ʃ iː n	
submarine	s ʌ b m ə ɹ iː n	
submarine's	s ʌ b m ə ɹ iː n z	
submarines	s ʌ b m ə ɹ iː n z	
submarines's	s ʌ b m ə ɹ iː n z ɪ z	
submerge	s ə b m ɜː dʒ	
submerged	s ə b m ɜː dʒ d	
submergence	s ə b m ɜː dʒ ə n s	
submerse	s ə b m ɜː s	
submersed	s ə b m ɜː s t	
submersible	s ə b m ɜː s ɪ b ə l	
submersion	s ə b m ɜː ʒ ə n	
subminimum	s ə b m ɪ n ɪ m ə m	
submission	s ə b m ɪ ʃ ə n	
submissions	s ə b m ɪ ʃ ə n z	
submissive	s ə b m ɪ s ɪ v	
submit	s ə b m ɪ t	
submits	s ʌ b m ɪ t s	
submitted	s ə b m ɪ t ɪ d	
submitting	s ə b m ɪ t ɪ ŋ	
subnotebook	s ʌ b n oʊ t b ʊ k	
subordinate	s ə b ɔ ɹ d ə n eɪ t	
subordinated	s ə b ɔ ɹ d ə n eɪ t ɪ d	
subordinates	s ə b ɔ ɹ d ə n eɪ t s	
subordinating	s ə b ɔ ɹ d ə n eɪ t ɪ ŋ	
subordination	s ə b ɔ ɹ d ə n eɪ ʃ ə n	
subotnick	s ə b ɑ t n ɪ k	
subpar	s ə b p ɑ ɹ	
subplot	s ʌ b p l ɑ t	
subplots	s ʌ b p l ɑ t s	
subpoena	s ə p iː n ə	
subpoenaed	s ə p iː n ə d	
subpoenaing	s ə p iː n ə ɪ ŋ	
subpoenas	s ə p iː n ə z	
subprincipal	s ə b p ɹ ɪ n s ə p ə l	
subprincipals	s ə b p ɹ ɪ n s ə p ə l z	
subra	s uː b ɹ ə	
subramanian	s uː b ɹ ə m ɑ n iː ə n	
subroto	s uː b ɹ oʊ t oʊ	
subroutine	s ʌ b ɹ uː t iː n	
subs	s ʌ b z	
subs's	s ʌ b z ɪ z	
subsaharan	s ʌ b s ə h ɛ ɹ ə n	
subscribe	s ə b s k ɹ aɪ b	
subscribed	s ə b s k ɹ aɪ b d	
subscriber	s ə b s k ɹ aɪ b ə ɹ	
subscriber's	s ə b s k ɹ aɪ b ə ɹ z	
subscribers	s ə b s k ɹ aɪ b ə ɹ z	
subscribers'	s ə b s k ɹ aɪ b ə ɹ z	
subscribes	s ə b s k ɹ aɪ b z	
subscribing	s ə b s k ɹ aɪ b ɪ ŋ	
subscription	s ə b s k ɹ ɪ p ʃ ə n	
subscriptions	s ə b s k ɹ ɪ p ʃ ə n z	
subsection	s ʌ b s ɛ k ʃ ə n	
subsequence	s ə b s iː k w ə n s	
subsequent	s ʌ b s ə k w ə n t	
subsequently	s ʌ b s ə k w ə n t l iː	
subservience	s ə b s ɜː v iː ə n s	
subservient	s ə b s ɜː v iː ə n t	
subset	s ʌ b s ɛ t	
subsets	s ʌ b s ɛ t s	
subside	s ə b s aɪ d	
subsided	s ə b s aɪ d ɪ d	
subsidence	s ə b s aɪ d ə n s	
subsides	s ə b s aɪ d z	
subsidiaries	s ə b s ɪ d iː ɛ ɹ iː z	
subsidiaries'	s ə b s ɪ d iː ɛ ɹ iː z	
subsidiary	s ə b s ɪ d iː ɛ ɹ iː	
subsidiary's	s ə b s ɪ d iː ɛ ɹ iː z	
subsidies	s ʌ b s ə d iː z	
subsiding	s ə b s aɪ d ɪ ŋ	
subsidization	s ʌ b s ɪ d ɪ z eɪ ʃ ə n	
subsidize	s ʌ b s ɪ d aɪ z	
subsidized	s ʌ b s ɪ d aɪ z d	
subsidizes	s ʌ b s ɪ d aɪ z ɪ z	
subsidizing	s ʌ b s ɪ d aɪ z ɪ ŋ	
subsidy	s ʌ b s ɪ d iː	
subsist	s ə b s ɪ s t	
subsistence	s ə b s ɪ s t ə n s	
subsoil	s ʌ b s ɔɪ l	
subspace	s ʌ b s p eɪ s	
subspaces	s ʌ b s p eɪ s ɪ s	
subspacing	s ʌ b s p eɪ s ɪ ŋ	
substance	s ʌ b s t ə n s	
substances	s ʌ b s t ə n s ə z	
substandard	s ə b s t æ n d ə ɹ d	
substantial	s ə b s t æ n ʃ ə l	
substantially	s ə b s t æ n ʃ ə l iː	
substantiate	s ə b s t æ n tʃ iː eɪ t	
substantiated	s ə b s t æ n ʃ iː eɪ t ɪ d	
substantiates	s ə b s t æ n tʃ iː eɪ t s	
substantiation	s ə b s t æ n tʃ iː eɪ ʃ ə n	
substantive	s ʌ b s t ə n t ɪ v	
substantively	s ʌ b s t ə n t ɪ v l iː	
substation	s ʌ b s t eɪ ʃ ə n	
substitute	s ʌ b s t ə t uː t	
substituted	s ʌ b s t ə t uː t ɪ d	
substitutes	s ʌ b s t ə t uː t s	
substituting	s ʌ b s t ɪ t uː t ɪ ŋ	
substitution	s ʌ b s t ɪ t uː ʃ ə n	
